tracking_number,service_type,service_description,carrier_code,package_weight,package_weight_units,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,delivery_location_type_x,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type_y,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count,unique_event_types_count
391128701026,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-20 13:37:00+05:30,93.88333333333334,3,5,82.4,31.294444444444448,True,RESIDENCE,1,True,11,7
390901883808,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-06 16:07:00+05:30,2020-03-09 19:50:00+05:30,75.71666666666667,3,5,60.13333333333333,25.23888888888889,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12,7
391128749178,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-19 15:29:00+05:30,71.75,3,6,56.43333333333333,23.916666666666668,True,RESIDENCE,1,True,12,7
390807986805,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,RESIDENCE,2020-03-03 16:19:00+05:30,2020-03-07 14:24:00+05:30,94.08333333333333,2,5,81.61666666666666,47.041666666666664,True,RESIDENCE,1,True,10,6
390948921190,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,95.53333333333333,3,5,82.99999999999999,31.844444444444445,True,RESIDENCE,1,True,11,7
390950106897,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,,2020-03-09 15:12:00+05:30,2020-03-12 16:00:00+05:30,72.8,3,4,59.900000000000006,24.266666666666666,True,,0,False,12,7
391128762808,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-18 12:09:00+05:30,44.416666666666664,3,5,35.26666666666667,14.805555555555555,True,RESIDENCE,0,False,10,6
390807994538,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,RESIDENCE,2020-03-03 16:19:00+05:30,2020-03-07 15:19:00+05:30,95.0,2,5,81.61666666666666,47.5,True,RESIDENCE,1,True,10,6
390950134073,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,95.53333333333333,3,4,82.99999999999999,31.844444444444445,True,RESIDENCE,1,True,10,7
390950572730,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,28.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-10 15:30:00+05:30,24.3,3,3,10.799999999999999,8.1,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9,7
390839041400,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2020-03-04 16:13:00+05:30,2020-03-09 14:45:00+05:30,118.53333333333333,3,6,85.8,39.51111111111111,True,RESIDENCE,1,True,13,7
390807999654,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bokaro steel City,JH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-03 16:19:00+05:30,2020-03-12 13:00:00+05:30,212.68333333333334,2,5,202.01666666666665,106.34166666666667,True,RECEPTIONIST_OR_FRONT_DESK,1,True,11,6
390767871261,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Gurugram,HR,,RECEPTIONIST_OR_FRONT_DESK,2020-03-02 16:23:00+05:30,2020-03-11 18:30:00+05:30,218.11666666666667,2,7,159.01666666666668,109.05833333333334,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17,8
391018702750,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Lucknow,UP,,RESIDENCE,2020-03-11 16:39:00+05:30,2020-03-18 19:26:00+05:30,170.78333333333333,3,5,138.55,56.92777777777778,True,RESIDENCE,1,True,13,8
390931993491,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,ahmedabad,GJ,,RESIDENCE,2020-03-07 16:27:00+05:30,2020-03-11 14:31:00+05:30,94.06666666666666,3,7,81.91666666666666,31.355555555555554,True,RESIDENCE,1,True,13,7
391080326650,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Thane,MH,,,2020-03-13 17:14:00+05:30,2020-03-20 16:00:00+05:30,166.76666666666668,3,12,155.71666666666667,55.588888888888896,True,,4,False,25,9
390870220230,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,IN_BOND_OR_CAGE,2020-03-05 19:20:00+05:30,2020-03-14 18:15:00+05:30,214.91666666666666,3,7,212.35,71.63888888888889,True,IN_BOND_OR_CAGE,1,True,24,8
390901963670,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,HYDERABAD,TS,,RECEPTIONIST_OR_FRONT_DESK,2020-03-06 16:07:00+05:30,2020-03-10 18:00:00+05:30,97.88333333333334,3,5,71.83333333333334,32.62777777777778,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12,7
390950151411,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,95.53333333333333,3,4,82.99999999999999,31.844444444444445,True,RESIDENCE,1,True,10,7
390950569057,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,RESIDENCE,2020-03-09 15:12:00+05:30,2020-03-10 11:52:00+05:30,20.666666666666668,3,2,10.866666666666665,6.888888888888889,True,RESIDENCE,1,True,8,7
